"","TRANSMITTER","DETECTEDID","DATETIME","X","Y","D","LAT","LON","n","HPE","HPEm","TEMP","DEPTH","ACCEL","DRX","URX","SDx","SDy","DATETIME_formatted"
"1","Jonah35","A69-1602-17084","7/2/2019 17:59",1021.02,921.03,6.4,43.067208,-70.708816,8,3.1,NA,NA,NA,NA,"S03 S05 S08 S09 S10","S03 S05 S08 S09 S10",4.402625536,16.52141732,2019-07-02 17:59:00
"2","Jonah35","A69-1602-17084","7/2/2019 18:01",1022.58,921.22,6.4,43.06721,-70.708797,8,2.8,NA,NA,NA,NA,"S01 S05 S08 S09 S11","S01 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-02 18:01:00
"3","Jonah35","A69-1602-17084","7/2/2019 18:03",1017.79,922.7,6.4,43.067223,-70.708856,1,7.3,NA,NA,NA,NA,"S01 S05 S08","S01 S05 S08",4.345514993,9.541941744,2019-07-02 18:03:00
"4","Jonah35","A69-1602-17084","7/2/2019 18:05",1020.43,920.36,6.4,43.067202,-70.708823,2,5.5,NA,NA,NA,NA,"S01 S05 S08 S14","S01 S05 S08 S14",4.890255191,19.61112565,2019-07-02 18:05:00
"5","Jonah35","A69-1602-17084","7/2/2019 18:08",1021.95,921.25,6.4,43.06721,-70.708804,1,7.7,NA,NA,NA,NA,"S01 S05 S08","S01 S05 S08",4.345514993,9.541941744,2019-07-02 18:08:00
"6","Jonah35","A69-1602-17084","7/2/2019 18:10",1021.9,920.94,6.4,43.067207,-70.708805,2,5.1,NA,NA,NA,NA,"S03 S05 S08 S14","S03 S05 S08 S14",4.890255191,19.61112565,2019-07-02 18:10:00
"7","Jonah35","A69-1602-17084","7/2/2019 18:14",1038.85,912.29,6.4,43.067129,-70.708597,1,10,NA,NA,NA,NA,"S01 S05 S08","S01 S05 S08",4.078874528,8.622159397,2019-07-02 18:14:00
"8","Jonah35","A69-1602-17084","7/2/2019 18:17",1023.72,921.07,6.4,43.067208,-70.708783,8,2.8,NA,NA,NA,NA,"S01 S05 S08 S09 S11","S01 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-02 18:17:00
"9","Jonah35","A69-1602-17084","7/2/2019 18:19",1022.99,920.97,6.4,43.067208,-70.708792,12,2.7,NA,NA,NA,NA,"S01 S05 S08 S09 S11 S14","S01 S05 S08 S09 S11 S14",2.024732046,6.455419845,2019-07-02 18:19:00
"10","Jonah35","A69-1602-17084","7/2/2019 18:22",1025.55,919.92,6.4,43.067198,-70.70876,8,3.9,NA,NA,NA,NA,"S01 S03 S05 S08 S09","S01 S03 S05 S08 S09",4.402625536,16.52141732,2019-07-02 18:22:00
"11","Jonah35","A69-1602-17084","7/2/2019 18:24",1024.73,918.69,6.4,43.067187,-70.70877,9,3.4,NA,NA,NA,NA,"S03 S08 S09 S10 S11 S15","S03 S08 S09 S10 S11 S15",4.402625536,16.52141732,2019-07-02 18:24:00
"12","Jonah35","A69-1602-17084","7/2/2019 18:30",1022.34,920.32,6.4,43.067202,-70.7088,12,2.7,NA,NA,NA,NA,"S01 S03 S05 S08 S09 S11 S14","S01 S05 S08 S09 S11 S14",2.024732046,6.455419845,2019-07-02 18:30:00
"13","Jonah35","A69-1602-17084","7/2/2019 18:40",1024.12,920.6,6.4,43.067204,-70.708778,3,3.6,NA,NA,NA,NA,"S01 S03 S05 S11","S01 S03 S05 S11",4.402625536,16.52141732,2019-07-02 18:40:00
"14","Jonah35","A69-1602-17084","7/2/2019 18:42",1023.97,920.18,6.4,43.0672,-70.70878,4,5.6,NA,NA,NA,NA,"S01 S02 S05 S08","S01 S02 S05 S08",4.890255191,19.61112565,2019-07-02 18:42:00
"15","Jonah35","A69-1602-17084","7/2/2019 18:46",1022.66,921.29,6.4,43.06721,-70.708796,9,3,NA,NA,NA,NA,"S01 S02 S05 S08 S11","S01 S02 S05 S08 S11",2.024732046,6.455419845,2019-07-02 18:46:00
"16","Jonah35","A69-1602-17084","7/2/2019 18:49",1022.82,921.78,6.4,43.067215,-70.708794,17,2.6,NA,NA,NA,NA,"S01 S05 S08 S09 S10 S11","S01 S05 S08 S09 S10 S11",2.024732046,6.455419845,2019-07-02 18:49:00
"17","Jonah35","A69-1602-17084","7/2/2019 18:51",1023.46,921.66,6.4,43.067214,-70.708786,18,2.7,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S10 S11","S01 S02 S05 S09 S10 S11",2.024732046,6.455419845,2019-07-02 18:51:00
"18","Jonah35","A69-1602-17084","7/2/2019 18:54",1024.09,921.4,6.4,43.067212,-70.708778,18,2.7,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S10 S11","S01 S02 S05 S09 S10 S11",2.024732046,6.455419845,2019-07-02 18:54:00
