id,date,lc,lon,lat,smaj,smin,eor
PS-R254-M-18,2018-12-23T10:17:36Z,B,70.45,-49.44,0,0,32
PS-R254-M-18,2018-12-23T10:33:42Z,0,70.46,-49.45,4771,778,2
PS-R254-M-18,2018-12-23T11:58:37Z,3,70.44,-49.43,544,51,90
PS-R254-M-18,2018-12-23T12:12:53Z,2,70.43,-49.43,800,78,101
PS-R254-M-18,2018-12-23T14:16:47Z,B,70.44,-49.43,16304,525,84
PS-R254-M-18,2018-12-23T18:48:02Z,B,70.44,-49.4,17789,137,168
PS-R254-M-18,2018-12-23T19:18:56Z,B,70.44,-49.41,4487,838,166
PS-R254-M-18,2018-12-23T20:09:46Z,B,70.43,-49.42,3915,1382,91
PS-R254-M-18,2018-12-24T00:12:07Z,1,70.4,-49.42,1917,211,36
PS-R254-M-18,2018-12-24T00:21:43Z,2,70.4,-49.41,417,169,115
PS-R254-M-18,2018-12-24T17:35:35Z,3,70.4,-49.41,270,84,58
PS-R254-M-18,2018-12-25T03:07:49Z,A,70.4,-49.41,1174,88,108
PS-R254-M-18,2018-12-25T03:15:19Z,3,70.4,-49.41,761,54,93
PS-R254-M-18,2018-12-25T03:36:00Z,3,70.39,-49.41,951,33,101
PS-R254-M-18,2018-12-25T13:00:49Z,A,70.32,-49.41,10849,474,130
PS-R254-M-18,2018-12-25T13:14:57Z,3,70.39,-49.41,404,55,72
PS-R254-M-18,2018-12-25T17:59:29Z,3,70.4,-49.41,289,204,78
PS-R254-M-18,2018-12-25T23:09:06Z,A,70.45,-49.43,8697,55,101
PS-R254-M-18,2018-12-26T04:15:44Z,B,70.44,-49.41,3738,1301,78
PS-R254-M-18,2018-12-26T12:19:06Z,2,70.4,-49.42,1434,146,120
PS-R254-M-18,2018-12-26T12:32:22Z,A,70.4,-49.42,1186,441,77
PS-R254-M-18,2018-12-26T17:04:23Z,A,70.41,-49.42,2866,57,107
PS-R254-M-18,2018-12-26T17:07:24Z,3,70.42,-49.41,221,101,26
PS-R254-M-18,2018-12-26T17:34:46Z,B,70.42,-49.41,1110,474,88
PS-R254-M-18,2018-12-26T17:44:13Z,3,70.42,-49.42,1442,41,74
PS-R254-M-18,2018-12-27T04:29:10Z,1,70.44,-49.42,1527,190,96
PS-R254-M-18,2018-12-27T04:35:33Z,A,70.47,-49.41,12846,127,75
PS-R254-M-18,2018-12-27T10:09:49Z,B,70.49,-49.49,3261,1267,30
PS-R254-M-18,2018-12-27T13:21:54Z,A,70.57,-49.53,2510,40,81
PS-R254-M-18,2018-12-27T13:55:00Z,0,70.61,-49.55,19494,757,136
PS-R254-M-18,2018-12-27T15:12:35Z,B,70.61,-49.61,6943,275,83
PS-R254-M-18,2018-12-27T18:31:43Z,A,70.86,-49.74,27862,1231,68
PS-R254-M-18,2018-12-27T18:59:20Z,A,70.85,-49.77,4750,1270,130
PS-R254-M-18,2018-12-27T20:37:30Z,B,70.91,-49.81,8078,4069,107
PS-R254-M-18,2018-12-27T23:32:39Z,B,71.02,-49.87,13614,945,123
PS-R254-M-18,2018-12-27T23:57:36Z,B,71.04,-49.8,44598,1311,115
PS-R254-M-18,2018-12-28T00:22:45Z,B,71.12,-49.85,13281,558,89
PS-R254-M-18,2018-12-28T01:02:22Z,B,71.15,-49.86,3839,364,100
PS-R254-M-18,2018-12-28T01:14:35Z,B,71.18,-49.93,19001,168,90
PS-R254-M-18,2018-12-28T01:27:38Z,B,71.21,-49.93,7092,570,84
PS-R254-M-18,2018-12-28T01:40:52Z,B,71.09,-49.84,7634,1626,84
PS-R254-M-18,2018-12-28T04:10:30Z,B,71.19,-49.97,21722,4581,94
PS-R254-M-18,2018-12-28T04:23:47Z,B,71.2,-49.98,21159,5201,93
PS-R254-M-18,2018-12-28T04:49:32Z,B,71.28,-50.06,12450,226,89
PS-R254-M-18,2018-12-28T04:49:54Z,B,71.22,-49.99,42354,5399,104
PS-R254-M-18,2018-12-28T10:55:15Z,B,71.45,-50.25,19069,1577,106
PS-R254-M-18,2018-12-28T11:20:55Z,B,71.39,-50.19,43997,264,112
PS-R254-M-18,2018-12-28T14:21:50Z,B,71.6,-50.3,7791,476,120
PS-R254-M-18,2018-12-28T15:07:36Z,B,71.57,-50.26,9654,672,88
PS-R254-M-18,2018-12-28T15:07:36Z,B,71.57,-50.27,11845,706,91
PS-R254-M-18,2018-12-28T15:19:52Z,B,71.57,-50.27,7152,674,91
PS-R254-M-18,2018-12-28T16:25:55Z,B,71.64,-50.25,19108,345,100
PS-R254-M-18,2018-12-28T16:37:03Z,0,71.7,-50.33,78685,914,106
PS-R254-M-18,2018-12-28T16:47:16Z,B,71.68,-50.32,14790,1951,99
PS-R254-M-18,2018-12-28T16:59:50Z,B,71.7,-50.33,21252,3370,97
PS-R254-M-18,2018-12-28T20:17:17Z,B,71.7,-50.38,9995,2851,114
PS-R254-M-18,2018-12-28T20:57:30Z,B,71.8,-50.32,3722,1353,94
PS-R254-M-18,2018-12-29T00:11:47Z,B,71.96,-50.58,46741,1099,75
PS-R254-M-18,2018-12-29T00:51:42Z,A,72.2,-50.51,21865,2864,119
PS-R254-M-18,2018-12-29T00:51:42Z,A,72.31,-50.63,76174,710,110
PS-R254-M-18,2018-12-29T01:03:41Z,B,72.34,-50.62,28390,3004,108
PS-R254-M-18,2018-12-29T01:04:03Z,B,72.25,-50.53,9683,3394,176
PS-R254-M-18,2018-12-29T02:29:17Z,B,72.24,-50.52,12171,4329,29
PS-R254-M-18,2018-12-29T02:40:12Z,A,72.24,-50.55,17247,1372,21
PS-R254-M-18,2018-12-29T02:40:12Z,A,72.4,-50.45,10475,2265,67
PS-R254-M-18,2018-12-29T02:49:52Z,B,72.42,-50.44,9381,2408,69
PS-R254-M-18,2018-12-29T06:06:07Z,B,72.29,-50.54,22910,9250,48
PS-R254-M-18,2018-12-29T10:42:13Z,B,72.7,-50.41,17079,8433,77
PS-R254-M-18,2018-12-29T10:54:49Z,B,72.72,-50.66,292800,2983,74
PS-R254-M-18,2018-12-29T12:28:45Z,B,72.49,-50.92,274780,409,78
PS-R254-M-18,2018-12-29T12:29:11Z,B,72.51,-50.91,394932,335,78
PS-R254-M-18,2018-12-29T12:54:06Z,B,72.52,-50.92,16549,694,84
PS-R254-M-18,2018-12-29T16:28:18Z,B,72.82,-50.99,21019,867,65
PS-R254-M-18,2018-12-29T16:40:23Z,B,72.87,-50.95,20819,232,74
PS-R254-M-18,2018-12-29T17:43:53Z,B,72.96,-50.98,9216,455,77
PS-R254-M-18,2018-12-29T17:58:07Z,B,72.98,-50.99,25991,768,83
