id,date,lc,lon,lat,smaj,smin,eor
F02-B-17,2017-09-17T05:20:00Z,G,70.138079,-49.176302,,,
F02-B-17,2017-10-04T14:35:01Z,2,70.14,-49.17,1890,45,77
F02-B-17,2017-10-05T04:03:25Z,B,70.2,-48.71,45546,1723,101
F02-B-17,2017-10-05T06:28:20Z,B,70.22,-48.62,28532,3303,100
F02-B-17,2017-10-05T10:21:18Z,B,70.26,-48.42,37924,2408,97
F02-B-17,2017-10-05T11:22:03Z,B,70.24,-48.33,104272,5136,94
F02-B-17,2017-10-05T12:07:47Z,B,70.25,-48.25,44493,469,93
F02-B-17,2017-10-05T13:32:08Z,B,69.96,-48.12,32508,2326,91
F02-B-17,2017-10-05T14:10:17Z,B,69.89,-48.13,39066,2024,92
F02-B-17,2017-10-05T14:10:54Z,A,75.1059,-47.0877,,,
F02-B-17,2017-10-05T14:48:35Z,B,69.73,-47.99,19396,3193,82
F02-B-17,2017-10-05T15:05:40Z,B,69.7,-48.17,28317,646,86
F02-B-17,2017-10-05T15:05:55Z,A,69.4028,-48.1696,,,
F02-B-17,2017-10-05T16:57:35Z,B,69.4,-48.05,26674,1793,97
F02-B-17,2017-10-05T16:57:42Z,A,69.439,-48.1342,,,
F02-B-17,2017-10-05T17:52:05Z,B,69.3861,-48.1108,5179,1565,80
F02-B-17,2017-10-05T18:44:09Z,A,69.2473,-48.0431,22352,772,52
F02-B-17,2017-10-05T18:44:18Z,B,69.27,-47.96,15558,1881,91
F02-B-17,2017-10-06T04:32:57Z,B,68.6986,-47.8843,45090,3310,84
F02-B-17,2017-10-06T06:13:01Z,B,68.6225,-47.8382,133261,3553,87
F02-B-17,2017-10-06T10:16:57Z,B,68.64,-47.63,125051,5362,73
F02-B-17,2017-10-06T10:54:32Z,B,68.3529,-47.7322,11289,1462,59
F02-B-17,2017-10-06T10:54:58Z,B,68.48,-47.69,75105,8008,80
F02-B-17,2017-10-06T11:49:32Z,B,68.2896,-47.6619,31114,221,69
F02-B-17,2017-10-06T11:50:01Z,B,68.26,-47.67,155288,1042,72
F02-B-17,2017-10-06T12:32:00Z,B,68.19,-47.63,7013,87,112
F02-B-17,2017-10-06T12:32:04Z,A,68.2153,-47.642,4834,79,114
F02-B-17,2017-10-06T13:32:31Z,A,68.166,-47.6534,2345,583,138
F02-B-17,2017-10-06T13:32:42Z,B,68.08,-47.63,2959,638,101
F02-B-17,2017-10-06T14:13:51Z,B,68.0535,-47.6023,4125,539,117
F02-B-17,2017-10-06T14:14:21Z,B,68.03,-47.61,7490,592,82
F02-B-17,2017-10-06T14:52:29Z,B,68.12,-47.59,26689,1252,97
F02-B-17,2017-10-06T14:52:36Z,A,67.9949,-47.5655,7738,603,105
F02-B-17,2017-10-06T15:29:15Z,B,68.02,-47.56,46470,1541,99
F02-B-17,2017-10-06T15:29:15Z,B,67.9453,-47.5434,6211,922,103
F02-B-17,2017-10-06T16:46:35Z,B,67.8811,-47.5021,13193,1911,109
F02-B-17,2017-10-06T17:04:45Z,B,68.01,-47.56,16420,2419,97
F02-B-17,2017-10-06T17:05:03Z,B,67.9732,-47.5414,9575,814,127
F02-B-17,2017-10-06T21:38:51Z,B,67.68,-47.35,25262,177,97
